image_id,file_name,ours_f1,ours_mean_iou,ours_precision,ours_recall,ours_fp,ours_fn,yolo_f1,yolo_mean_iou,yolo_precision,yolo_recall,yolo_fp,yolo_fn
300537,300537.TIF,0.688,0.900,0.733,0.647,4,6,0.667,0.860,0.900,0.529,1,8
300538,300538.TIF,0.903,0.891,0.966,0.848,1,5,0.692,0.896,0.947,0.545,1,15
300539,300539.TIF,0.833,0.881,0.800,0.870,5,3,0.718,0.885,0.875,0.609,2,9
300540,300540.TIF,0.792,0.878,0.905,0.704,2,8,0.698,0.896,0.938,0.556,1,12
300541,300541.TIF,0.808,0.885,0.913,0.724,2,8,0.708,0.844,0.895,0.586,2,12
300542,300542.TIF,0.833,0.865,0.833,0.833,2,2,0.667,0.883,1.000,0.500,0,6
300543,300543.TIF,0.750,0.898,0.750,0.750,1,1,0.857,0.897,1.000,0.750,0,1
300548,300548.TIF,0.000,0.000,0.000,0.000,0,1,0.000,0.000,0.000,0.000,0,1
300549,300549.TIF,0.000,0.000,0.000,0.000,0,1,0.000,0.000,0.000,0.000,0,1
300550,300550.TIF,0.969,0.870,0.984,0.955,1,3,0.887,0.846,0.829,0.955,13,3
300551,300551.TIF,0.941,0.866,0.960,0.923,4,8,0.931,0.846,0.950,0.913,5,9
300552,300552.TIF,0.947,0.875,0.990,0.908,1,10,0.919,0.854,0.960,0.881,4,13
300553,300553.TIF,0.918,0.865,0.960,0.880,4,13,0.923,0.856,0.960,0.889,4,12
300554,300554.TIF,0.952,0.866,0.972,0.933,2,5,0.915,0.847,0.897,0.933,8,5
300555,300555.TIF,0.903,0.862,0.933,0.875,4,8,0.889,0.837,0.903,0.875,6,8
300556,300556.TIF,0.865,0.822,0.842,0.889,3,2,0.944,0.792,0.944,0.944,1,1
300557,300557.TIF,0.812,0.834,0.812,0.812,3,3,0.714,0.806,0.833,0.625,2,6
300558,300558.TIF,0.844,0.888,0.864,0.826,3,4,0.829,0.877,0.944,0.739,1,6
300559,300559.TIF,0.690,0.846,0.833,0.588,2,7,0.714,0.896,0.909,0.588,1,7
300560,300560.TIF,0.788,0.843,0.812,0.765,3,4,0.645,0.824,0.714,0.588,4,7
300561,300561.TIF,0.783,0.891,0.692,0.900,4,1,0.667,0.796,1.000,0.500,0,5
300562,300562.TIF,0.750,0.925,0.706,0.800,5,3,0.720,0.919,0.900,0.600,1,6
300563,300563.TIF,0.581,0.891,0.643,0.529,5,8,0.640,0.845,1.000,0.471,0,9
300564,300564.TIF,0.909,0.804,1.000,0.833,0,2,0.857,0.776,1.000,0.750,0,3
300570,300570.TIF,0.000,0.000,0.000,0.000,0,1,0.000,0.000,0.000,0.000,0,1
300571,300571.TIF,0.000,0.000,0.000,0.000,0,1,0.000,0.000,0.000,0.000,0,1
300572,300572.TIF,0.951,0.868,0.980,0.925,2,8,0.913,0.850,0.940,0.887,6,12
300573,300573.TIF,0.931,0.859,0.940,0.922,6,8,0.921,0.849,0.930,0.912,7,9
300574,300574.TIF,0.938,0.866,0.990,0.892,1,12,0.919,0.859,0.970,0.874,3,14
300575,300575.TIF,0.914,0.868,0.960,0.873,4,14,0.914,0.841,0.960,0.873,4,14
300576,300576.TIF,0.943,0.867,1.000,0.893,0,12,0.915,0.866,0.970,0.866,3,15
300577,300577.TIF,0.911,0.870,0.935,0.888,6,11,0.953,0.853,0.968,0.939,3,6
300578,300578.TIF,0.971,0.853,1.000,0.944,0,1,0.971,0.822,1.000,0.944,0,1
300579,300579.TIF,1.000,0.858,1.000,1.000,0,0,0.600,0.777,1.000,0.429,0,4
300580,300580.TIF,0.667,0.914,0.556,0.833,8,2,0.609,0.897,0.636,0.583,4,5
300581,300581.TIF,0.714,0.841,0.588,0.909,7,1,0.400,0.783,0.444,0.364,5,7
300582,300582.TIF,0.917,0.906,1.000,0.846,0,2,0.833,0.917,0.909,0.769,1,3
300583,300583.TIF,0.800,0.879,0.714,0.909,4,1,0.737,0.888,0.875,0.636,1,4
300584,300584.TIF,0.688,0.901,0.688,0.688,5,5,0.741,0.867,0.909,0.625,1,6
300585,300585.TIF,0.737,0.888,0.700,0.778,3,2,0.800,0.869,1.000,0.667,0,3
300590,300590.TIF,0.000,0.000,0.000,0.000,0,1,1.000,0.742,1.000,1.000,0,0
300591,300591.TIF,0.000,0.000,0.000,0.000,0,1,1.000,0.803,1.000,1.000,0,0
300594,300594.TIF,0.971,0.876,0.981,0.962,1,2,0.962,0.839,0.980,0.943,1,3
300595,300595.TIF,0.952,0.862,0.990,0.917,1,9,0.923,0.848,0.960,0.889,4,12
300596,300596.TIF,0.913,0.859,0.950,0.880,5,13,0.923,0.847,0.960,0.889,4,12
300597,300597.TIF,0.909,0.852,0.915,0.904,7,8,0.940,0.843,0.940,0.940,5,5
300598,300598.TIF,0.899,0.875,0.980,0.831,2,20,0.908,0.877,0.990,0.839,1,19
300599,300599.TIF,0.976,0.868,0.976,0.976,2,2,0.958,0.853,0.952,0.964,4,3
300600,300600.TIF,1.000,0.858,1.000,1.000,0,0,0.952,0.812,1.000,0.909,0,1
300601,300601.TIF,0.667,0.954,0.500,1.000,1,0,0.500,0.968,0.333,1.000,2,0
300602,300602.TIF,0.714,0.879,0.556,1.000,8,0,0.909,0.885,0.833,1.000,2,0
300603,300603.TIF,0.727,0.871,0.667,0.800,4,2,0.842,0.854,0.889,0.800,1,2
300604,300604.TIF,0.875,0.853,1.000,0.778,0,2,0.875,0.844,1.000,0.778,0,2
300605,300605.TIF,0.571,0.823,0.500,0.667,2,1,0.500,0.901,1.000,0.333,0,2
300606,300606.TIF,0.519,0.813,0.636,0.438,4,9,0.545,0.839,1.000,0.375,0,10
300607,300607.TIF,0.500,0.953,0.333,1.000,2,0,1.000,0.929,1.000,1.000,0,0
300612,300612.TIF,0.000,0.000,0.000,0.000,0,1,1.000,0.719,1.000,1.000,0,0
300616,300616.TIF,0.944,0.854,0.959,0.930,4,7,0.919,0.845,0.929,0.910,7,9
300617,300617.TIF,0.862,0.869,1.000,0.758,0,32,0.862,0.859,1.000,0.758,0,32
300618,300618.TIF,0.951,0.864,1.000,0.907,0,10,0.928,0.835,0.960,0.897,4,11
300619,300619.TIF,0.973,0.841,0.964,0.982,2,1,0.955,0.835,0.946,0.964,3,2
300620,300620.TIF,0.881,0.874,1.000,0.787,0,27,0.872,0.862,0.990,0.780,1,28
300621,300621.TIF,0.885,0.863,1.000,0.794,0,26,0.885,0.847,1.000,0.794,0,26
300622,300622.TIF,0.977,0.851,0.984,0.969,1,2,0.916,0.834,0.909,0.923,6,5
300623,300623.TIF,0.750,0.850,0.600,1.000,2,0,0.667,0.884,0.667,0.667,1,1
300624,300624.TIF,0.625,0.844,0.556,0.714,8,4,0.741,0.862,0.769,0.714,3,4
300625,300625.TIF,0.593,0.832,0.571,0.615,6,5,0.667,0.806,0.727,0.615,3,5
300626,300626.TIF,0.632,0.848,0.857,0.500,1,6,0.667,0.879,1.000,0.500,0,6
300638,300638.TIF,0.937,0.875,0.970,0.907,3,10,0.947,0.845,0.980,0.916,2,9
300639,300639.TIF,0.915,0.879,0.970,0.866,3,15,0.915,0.848,0.970,0.866,3,15
300640,300640.TIF,0.915,0.873,0.931,0.900,2,3,0.933,0.840,0.933,0.933,2,2
300641,300641.TIF,0.967,0.863,0.967,0.967,1,1,0.906,0.826,0.853,0.967,5,1
300642,300642.TIF,0.942,0.881,0.980,0.907,2,10,0.933,0.864,0.970,0.898,3,11
300643,300643.TIF,0.946,0.867,0.964,0.930,2,4,0.948,0.847,0.932,0.965,4,2
300644,300644.TIF,0.909,0.828,0.938,0.882,1,2,0.824,0.832,0.824,0.824,3,3
300645,300645.TIF,0.000,0.000,0.000,0.000,1,4,0.400,0.838,1.000,0.250,0,3
300646,300646.TIF,0.750,0.829,0.750,0.750,5,5,0.563,0.871,0.750,0.450,3,11
300647,300647.TIF,0.848,0.863,0.933,0.778,1,4,0.643,0.902,0.900,0.500,1,9
300648,300648.TIF,1.000,0.876,1.000,1.000,0,0,0.923,0.900,1.000,0.857,0,1
300660,300660.TIF,0.855,0.871,0.970,0.764,3,30,0.863,0.837,0.980,0.772,2,29
300661,300661.TIF,0.902,0.839,0.939,0.868,3,7,0.897,0.830,0.889,0.906,6,5
300662,300662.TIF,1.000,0.905,1.000,1.000,0,0,1.000,0.935,1.000,1.000,0,0
300663,300663.TIF,0.939,0.882,0.964,0.915,2,5,0.966,0.868,0.966,0.966,2,2
300664,300664.TIF,0.925,0.913,0.974,0.881,2,10,0.940,0.895,0.940,0.940,5,5
