============================================================
wait_then_launch_b0_r0 started at 2026-07-31 00:47:09
monitor_log=logs/ablations/wait_then_launch_b0_r0_20260731_004709.log
poll_seconds=60
plan: when no train_rsprompter process is alive, launch
  B0  -> CUDA_VISIBLE_DEVICES=0,1 (stride32)
  R0  -> CUDA_VISIBLE_DEVICES=2,3 (stride16)
============================================================
2026-07-31 02:27:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:28:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:29:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:30:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:31:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:32:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:33:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:34:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:35:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:36:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:37:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:38:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:39:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:40:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:41:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:42:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:43:16 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:44:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:45:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:46:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:47:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:48:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:49:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:50:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:51:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:52:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:53:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:54:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:55:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:56:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:57:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:58:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 02:59:17 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:00:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:01:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:02:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:03:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:04:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:05:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:06:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:07:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:08:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:09:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:10:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:11:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:12:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:13:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:14:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:15:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:16:18 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:17:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:18:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:19:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:20:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:21:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:22:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:23:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:24:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:25:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:26:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:27:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:28:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:29:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:30:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:31:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:32:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:33:19 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:34:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:35:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:36:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:37:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:38:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:39:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:40:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:41:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:42:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:43:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:44:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:45:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:46:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:47:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:48:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:49:20 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:50:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:51:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:52:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:53:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:54:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:55:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:56:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:57:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
2026-07-31 03:58:21 - 30 train_rsprompter process(es) still running; sleeping 60s.
